"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene2762",8.99693432399435,5.48700122463668,92.0855593084581,8.30088924549194e-22,6.46975794760806e-20
"dp_gene4678",8.99693432399435,5.07886669649454,92.085559308458,8.300889245492e-22,6.46975794760806e-20
"dp_gene4485",7.01051008746115,5.10189907297281,91.5471483574022,1.08964765716481e-21,8.44711267132225e-20
"dp_gene8",8.96842164584756,9.49046300446132,91.0298398283645,1.41521733392606e-21,1.09123094854973e-19
"dp_gene14422",5.66924394462951,6.73254895984238,90.0985827017676,2.26583965652711e-21,1.7378267025247e-19
"dp_gene20716",4.63535027678458,7.58452237395002,89.9159405791687,2.48496772636698e-21,1.8958068596024e-19
"dp_gene14416",5.56958675471816,6.75410886170686,89.2984397816066,3.39526817132155e-21,2.57665114538344e-19
"dp_gene7619",5.33020114567524,4.37250312265821,89.2144545018865,3.54251123424326e-21,2.67431777416511e-19
"dp_gene3279",7.5378853650713,4.31963064365011,89.0122005087493,3.92385083272455e-21,2.94677110192996e-19
"dp_gene1354",7.53560162536977,3.97292053310609,88.9438011165384,4.06189410745554e-21,3.034634773855e-19
"dp_gene17991",5.21453969484402,4.87772855764808,88.0096020480657,6.51374930062561e-21,4.84132737967632e-19
"dp_gene8957",6.2907201865545,4.18416907272666,87.8442220060479,7.08178088873491e-21,5.23652300690609e-19
"dp_gene20408",8.87933813349675,4.79506401842226,87.7722434008971,7.34423561039316e-21,5.40288435031933e-19
"dp_gene11827",8.84837783562715,3.46121656958617,86.6547801013049,1.292178710468e-20,9.45782986103454e-19
"dp_gene15277",5.26090370987841,8.43775765920002,86.4378062156525,1.4420168881331e-20,1.05012330858541e-18
"dp_gene12152",5.24797276285649,6.35347227179784,85.9841408597725,1.81384480714931e-20,1.31316250178861e-18
"dp_gene1836",7.45578209106118,4.81013081577141,85.9758846735446,1.8214335276907e-20,1.31316250178861e-18
"dp_gene4684",5.74085270992695,4.6991684632316,85.0973612773777,2.84029336810676e-20,2.03752189426524e-18
"dp_gene21424",-13.2048465172103,8.88616876638592,84.8044429518754,3.29383377306365e-20,2.35117768187152e-18
"dp_gene16111",5.45152938386508,6.75026107143256,84.662370179248,3.53922647312476e-20,2.51389687270867e-18
"dp_gene2342",8.7843897649223,3.64080949798961,84.3696395258168,4.10401834887017e-20,2.90077649864505e-18
"dp_gene271",5.20624582805838,4.61408235453708,84.3014153452539,4.24810958897963e-20,2.98797522748767e-18
"dp_gene13390",4.40041047976039,6.81389481447976,84.2227208864755,4.42061044138814e-20,3.09421271623182e-18
"dp_gene80",4.642740954837,7.97959233508067,83.9852197663674,4.98487619534962e-20,3.47231545220996e-18
"dp_gene12309",6.43368816709752,6.79911330258549,83.5109909135414,6.33627073916254e-20,4.39243691288388e-18
"dp_gene18129",5.35091185163172,5.67727511073387,83.4635447039341,6.49018612580424e-20,4.47760735636227e-18
"dp_gene964",8.75129899137845,3.19474021179591,83.2009485593411,7.41221379914527e-20,5.04135428159791e-18
"dp_gene18447",8.75129899137845,4.09652006345336,83.2009485593411,7.41221379914527e-20,5.04135428159791e-18
"dp_gene19693",8.75129899137845,3.54470006339725,83.2009485593411,7.41221379914527e-20,5.04135428159791e-18
"dp_gene7990",5.01402301141538,7.47554209784301,83.0080524890096,8.17198112861098e-20,5.53200919687519e-18
"dp_gene11828",5.79579331329096,4.87644953517375,82.3511606872775,1.13934548196755e-19,7.67673948807952e-18
"dp_gene4009",6.1149114129745,3.51036553384085,81.2148241699485,2.02467508727311e-19,1.35785070155307e-17
"dp_gene19333",6.11441616894634,5.53253577826069,81.1994783415788,2.04045830385152e-19,1.3621003834831e-17
"dp_gene7513",8.68274954370696,3.4477153671947,80.8086130686869,2.48671737609822e-19,1.64106386754686e-17
"dp_gene19686",8.68274954370696,3.53427724754879,80.8086130686869,2.48671737609822e-19,1.64106386754686e-17
"dp_gene14625",7.31363782136161,6.50855189200353,80.8040263675205,2.4924959219971e-19,1.64106386754686e-17
"dp_gene1036",6.72101512852751,3.55301770380942,80.6650647872033,2.67408128753964e-19,1.75261718568337e-17
"dp_gene5363",7.28454877321153,3.37259828584248,79.7569570531335,4.23417061508823e-19,2.76255683705688e-17
"dp_gene11124",5.57372193984176,5.75180975798687,78.7461183372193,7.0627371817865e-19,4.58727961370178e-17
"dp_gene12280",5.46411404075993,5.75974949542139,78.6621829640741,7.36928611153067e-19,4.76492091668882e-17
"dp_gene10699",6.6606576018504,5.89265785437747,78.5231022909618,7.90681297262817e-19,5.08965786840739e-17
"dp_gene5511",8.61077978790599,3.0374407667968,78.3390842555562,8.67876084240771e-19,5.56173567051897e-17
"dp_gene11309",4.33847412288471,6.97002039344141,77.9310804667895,1.0669920668272e-18,6.80750381043422e-17
"dp_gene11473",6.6316264226465,3.66140633248473,77.4893437369289,1.33440469628643e-18,8.47611511707228e-17
"dp_gene867",8.57340219458232,3.49795542708748,77.0737929682523,1.64688191501941e-18,1.0415083479239e-16
"dp_gene9325",7.18784898022959,3.77757963157826,76.3715249829079,2.35015725362174e-18,1.47977805414724e-16
"dp_gene14514",5.97549497751543,4.01525810599884,76.0788787201012,2.72557017078439e-18,1.70869549098001e-16
"dp_gene258",6.57337123466665,5.91933808181093,75.4249034828574,3.79572240386158e-18,2.36928663815065e-16
"dp_gene20555",6.20395164393747,5.68793890306592,75.1399234676776,4.38509049343274e-18,2.7253715441727e-16
"dp_gene414",4.19421751001716,8.15022930671814,74.8802813309912,5.00140416979365e-18,3.09507496670621e-16
"dp_gene2783",6.1780096487279,3.84015183036672,74.2065849433468,7.03552223681484e-18,4.33526474925783e-16
"dp_gene20415",5.92144441263449,4.75556587870827,74.1606322499398,7.20121782488617e-18,4.41848339646952e-16
"dp_gene887",7.12264200860908,4.12062020391215,74.1099164052771,7.38862359481254e-18,4.51426117006789e-16
"dp_gene15434",4.29088713731316,8.82375809640733,73.5150681070669,9.98708388489303e-18,6.07610812389336e-16
"dp_gene182",-9.36702458238963,8.52093966570715,73.3710956944494,1.07427808414429e-17,6.50840995599854e-16
"dp_gene2873",4.18261991629731,7.37281338866263,72.7950735793062,1.43835443099203e-17,8.67767051902682e-16
"dp_gene15593",4.18420405136189,8.23673485992741,72.7107556690789,1.5011375785153e-17,9.0187094769217e-16
"dp_gene10067",3.9087044022512,11.403727032533,72.5783037131767,1.60534277649162e-17,9.60474584822934e-16
"dp_gene17385",4.45437801047874,5.02933377339413,72.5258272432252,1.648602302088e-17,9.82280850983757e-16
"dp_gene17396",-12.2253093737994,7.92064639562768,72.2239536163596,1.92109652928873e-17,1.13992966484832e-15
"dp_gene20320",4.23788532572184,9.04534861830681,71.7639429323715,2.42544041550212e-17,1.43329612094775e-15
"dp_gene10120",5.65626217278588,4.75377152818725,71.6130935854181,2.61813549324497e-17,1.54085288477956e-15
"dp_gene7491",4.78355732244075,6.61383957519982,71.5806980172695,2.66147511026972e-17,1.55999226077151e-15
"dp_gene13819",4.33694290589912,6.9313782622129,71.4056943555064,2.90831596674862e-17,1.69777360018414e-15
"dp_gene6914",6.45308201769592,6.37135089108899,71.2215055103378,3.19288890753816e-17,1.85638165958842e-15
"dp_gene9862",6.4508581976663,3.94871315730618,71.1630217905718,3.28894854438505e-17,1.9045521711441e-15
"dp_gene9268",8.37044251129393,3.02982817500881,70.413441763843,4.80911226980013e-17,2.77370359272993e-15
"dp_gene10028",4.30717722789928,7.54788344938793,70.3359637610857,5.00174744948757e-17,2.87331460056419e-15
"dp_gene12975",3.80074199319759,12.9620766993636,70.1351518325382,5.53773065335841e-17,3.16859278931646e-15
"dp_gene11306",4.03359698177995,7.13489045573735,69.0814424098786,9.44801973911602e-17,5.38462437226537e-15
"dp_gene1051",8.3261846147296,2.99035549085233,69.0089688007412,9.80166818827546e-17,5.54236288653897e-15
"dp_gene19447",8.3261846147296,2.93634810312721,69.0089688007412,9.80166818827546e-17,5.54236288653897e-15
"dp_gene1193",4.60560604097944,5.26157074494142,68.9119315137714,1.0296002824297e-16,5.79914315326321e-15
