"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene11485",2.47286820993063,10.1707098195284,28.8235697668493,7.92804163721104e-08,8.79341787438046e-06
"dp_gene6321",2.48244160314818,9.89779359550537,28.6257193238101,8.78081277992501e-08,9.66492667738464e-06
"dp_gene20408",4.81153492694992,4.79506401842226,28.4598634587933,9.56611692961632e-08,1.04495333339498e-05
"dp_gene12162",2.741656757834,7.35801407137054,28.3762098163989,9.98852639401274e-08,1.08289144417496e-05
"dp_gene15179",-2.67886524416364,5.3146762864662,28.1579566724167,1.11807081303154e-07,1.20309425769416e-05
"dp_gene1877",-2.02416398465765,9.20925693345001,28.0700525840089,1.17002455377281e-07,1.24967289191483e-05
"dp_gene4685",2.476929781916,8.88299201455383,28.0392785343009,1.18877897011304e-07,1.26036793897499e-05
"dp_gene4745",-2.28528466033829,6.14560269218344,27.6444769593665,1.45787729816559e-07,1.53438925271895e-05
"dp_gene11124",3.64782707460014,5.75180975798687,27.3920324584884,1.66114239146227e-07,1.73565305380395e-05
"dp_gene9276",2.68217039722531,6.65430602401021,27.3624389434032,1.68675919227901e-07,1.74973962542957e-05
"dp_gene12208",-4.66769643127875,3.12559776509155,27.3457632250251,1.70136808063233e-07,1.75228759675982e-05
"dp_gene7253",6.38554075886091,4.29277044078359,26.8934697641117,2.14984049190252e-07,2.19847872714486e-05
"dp_gene21446",3.82876384625219,4.86748554468588,26.7786084349556,2.28148938929436e-07,2.31667573973489e-05
"dp_gene6914",2.62245621282055,6.37135089108899,26.5798518941086,2.52867118001482e-07,2.54971396815621e-05
"dp_gene9914",6.33909353796329,4.77954107422127,26.4935088584008,2.64425141319014e-07,2.64774035602699e-05
"dp_gene10093",-2.00145196456505,7.43521809737656,26.3083434942579,2.91028683946938e-07,2.89402937505579e-05
"dp_gene14861",-2.43828531520318,5.94719406280924,26.2187932158553,3.04841363366169e-07,3.01062165642246e-05
"dp_gene10755",2.90634364256193,5.12651247696486,26.2038491449603,3.07209569735089e-07,3.01337060272806e-05
