"genes","logFC","logCPM","LR","PValue","FDR"
"dp_gene16540",3.1168708161835,5.98575008544479,55.5742318894784,8.9995610145271e-14,9.47187374222382e-12
"dp_gene13309",-6.72408424527901,3.16508668642011,55.4297345861285,9.68601428366236e-14,1.01204811562411e-11
"dp_gene19541",-3.85970454541815,3.97210834211851,55.2274076416565,1.07361236892326e-13,1.11369904658305e-11
"dp_gene4647",-2.84573306814839,7.0684696614984,55.1302499140514,1.12801439075497e-13,1.16177425002114e-11
"dp_gene21178",-3.52479196970126,4.76839442630778,55.06348555593,1.16698878662881e-13,1.19339087336176e-11
"dp_gene7848",-3.04638766784424,5.70318826798838,54.9413509005874,1.24180655015223e-13,1.26095835539754e-11
"dp_gene2889",-5.54529533371531,3.47185668452465,54.8425236583041,1.30584570175549e-13,1.31671252962324e-11
"dp_gene672",-5.01125744849391,4.97419071266542,54.7723054294613,1.35334471291992e-13,1.3551303760828e-11
"dp_gene21040",3.27227885873231,6.73209892550416,54.5532287435812,1.51293873798597e-13,1.50448714917377e-11
"dp_gene13854",-5.0066145295177,3.61759391948157,54.4937701502014,1.55941401208521e-13,1.54008155070251e-11
"dp_gene10002",3.4553601602594,4.92693440433843,53.8043708050156,2.21479462456015e-13,2.17245739398182e-11
"dp_gene20140",-2.90651719306881,7.82879705897542,53.4758335029845,2.61793533777272e-13,2.55054119157735e-11
"dp_gene13444",2.59825670902284,11.4157990370812,53.3514046698197,2.78911722628868e-13,2.69907928092996e-11
"dp_gene17912",4.05219271164997,4.78430797148429,53.3004127289126,2.8624639547463e-13,2.75159118423246e-11
"dp_gene21374",-3.09744810986453,6.47409217808229,53.2455510857978,2.94353363799867e-13,2.81078222028495e-11
"dp_gene15195",2.81664696146596,6.62018550119292,53.147933803979,3.0935066734852e-13,2.93455741611731e-11
"dp_gene18234",-2.73543505844145,6.50914209820768,52.900272047983,3.50920942416362e-13,3.30714318215786e-11
"dp_gene10736",-4.07287472535291,3.79196960711591,52.8758717029878,3.5530757314581e-13,3.32674019298015e-11
"dp_gene671",2.64820907166719,9.22831929925416,52.7067968811718,3.87248642292925e-13,3.60241172465915e-11
"dp_gene14142",-3.09189549689614,5.36535725358922,52.6320147666783,4.02277941374666e-13,3.71823438248802e-11
"dp_gene12583",-4.20391757385615,3.69729166695394,52.5467612673133,4.20125009296615e-13,3.85846019684579e-11
"dp_gene15994",3.81558410857801,5.19778411262245,52.5196529500777,4.25964273695282e-13,3.88732839393182e-11
"dp_gene10130",2.81159471506861,7.02667547838442,52.4033648193496,4.51948915205089e-13,4.09852289832841e-11
"dp_gene15197",2.81157453752093,6.47259232570366,52.1856591511696,5.0493545712635e-13,4.55041522269053e-11
"dp_gene9312",-2.65537961160057,7.07453887829107,52.1430110843795,5.16021835154879e-13,4.62144027397403e-11
"dp_gene12833",-2.6134326958604,7.63306498516497,51.9992973772997,5.55204981302978e-13,4.94166705272077e-11
"dp_gene18109",-4.91829176199472,3.61604789101558,51.9025447648988,5.83247756443647e-13,5.15941680991469e-11
"dp_gene7638",-3.82603753850742,3.92589450066521,51.804871941169,6.12995160100796e-13,5.3894983009106e-11
"dp_gene7189",3.34164739509684,8.78049734959431,51.6810096978846,6.52912241385518e-13,5.70566158093199e-11
"dp_gene16072",-4.90990606407111,3.38575104070376,51.5890683224449,6.84214978584768e-13,5.9431902266348e-11
"dp_gene4291",-2.61120074531554,7.35463921809828,51.2481371125232,8.1397942568789e-13,7.02800559221179e-11
"dp_gene13796",-3.25138777797678,4.90891773135947,51.1517103432478,8.54961563060366e-13,7.33791117724251e-11
"dp_gene12563",-2.67881263304367,8.10127890691989,50.9416200699169,9.51543858666741e-13,8.11852715864836e-11
"dp_gene15177",2.76577464141346,6.49271409689359,50.9167024795564,9.63700368710095e-13,8.1738797743711e-11
"dp_gene21033",-3.36367160500752,4.3197583154393,50.7755568629388,1.0355534688547e-12,8.7319564136935e-11
"dp_gene11951",2.9521461168593,6.39827984251383,50.6150929568096,1.12377503151117e-12,9.42076289497648e-11
"dp_gene15200",2.75304701184968,6.49551752267816,50.5769983537197,1.14580076328151e-12,9.54988509003244e-11
"dp_gene11475",-5.39262005876991,3.24538549459111,50.5261521238858,1.17587388823509e-12,9.74421011175967e-11
"dp_gene601",-3.61971957339436,4.25960136461067,49.9950032391169,1.54137996593485e-12,1.27000901307512e-10
"dp_gene15992",3.00477288410439,7.25475860008919,49.6291309954634,1.85735280464112e-12,1.52165739148411e-10
"dp_gene4386",2.5084549471408,9.44946598406914,49.3873352176365,2.10097637650642e-12,1.71152420185571e-10
"dp_gene7281",-6.49143761199384,3.06396374805864,49.2409996644358,2.26369587089963e-12,1.83372082935404e-10
"dp_gene8618",2.57079567340815,9.64345715899194,48.6612224378687,3.04222486597214e-12,2.45060560572359e-10
"dp_gene18971",2.69518776676607,7.44895110207359,48.4628907943679,3.36598429162822e-12,2.69634041672152e-10
"dp_gene16711",-2.76326904970813,5.64350647597325,48.1890177357661,3.87050066695119e-12,3.08335630479388e-10
"dp_gene14154",-3.56406901577671,4.21207804829166,48.0855024375731,4.08032277988269e-12,3.23264693204003e-10
"dp_gene615",-3.23602372776618,4.69088233841612,47.7644939275555,4.80617892513765e-12,3.78690130718906e-10
"dp_gene12650",3.50754826257197,4.73658683381548,47.6301894665829,5.14697328036809e-12,4.02505498481298e-10
"dp_gene3370",-5.28564838744008,3.19804563033556,47.6236148570632,5.16426362570498e-12,4.02505498481298e-10
"dp_gene8963",-6.42577547735743,3.04575254840061,47.588239308205,5.25829936142473e-12,4.07631282217114e-10
"dp_gene6500",-4.75092435854872,3.30056824164659,47.2823473568232,6.1463257533821e-12,4.73924444053564e-10
